TimeStamp,GHI (W/m^2),DHI (W/m^2),Dry-bulb (C),Wspd (m/s)
2017-01-01 01:00:00,0,0,-2,1
2017-01-01 02:00:00,0,0,-2,0
2017-01-01 03:00:00,0,0,-1,1
2017-01-01 04:00:00,0,0,-1,0
2017-01-01 05:00:00,0,0,0,1
2017-01-01 06:00:00,0,0,0,0
2017-01-01 07:00:00,0,0,0,0
2017-01-01 08:00:00,56.09313473,26,0,0
2017-01-01 09:00:00,231.2458609,56,1,0
2017-01-01 10:00:00,381.7212893,89,3,0
2017-01-01 11:00:00,503.5050258,103,4,2
2017-01-01 12:00:00,570.6862219,98,5,2
2017-01-01 13:00:00,481.3192472,192,6,2
2017-01-01 14:00:00,373.2046997,177,5,2
2017-01-01 15:00:00,287.9604494,132,6,2
2017-01-01 16:00:00,159.0541198,89,4,2
2017-01-01 17:00:00,42.09220569,28,4,2
2017-01-01 18:00:00,0,0,2,1
2017-01-01 19:00:00,0,0,2,0
2017-01-01 20:00:00,0,0,2,0
2017-01-01 21:00:00,0,0,1,1
2017-01-01 22:00:00,0,0,1,0
2017-01-01 23:00:00,0,0,2,0
2017-01-02 00:00:00,0,0,2,0
2017-01-02 01:00:00,0,0,2,2
2017-01-02 02:00:00,0,0,2,1
2017-01-02 03:00:00,0,0,2,0
2017-01-02 04:00:00,0,0,1,0
2017-01-02 05:00:00,0,0,2,0
2017-01-02 06:00:00,0,0,2,0
2017-01-02 07:00:00,0,0,2,0
2017-01-02 08:00:00,32.22715152,29,1,0
2017-01-02 09:00:00,86.28568339,80,2,2
2017-01-02 10:00:00,108.1171064,102,3,2
2017-01-02 11:00:00,89.4046176,86,3,4
2017-01-02 12:00:00,96.68183213,93,3,3
2017-01-02 13:00:00,99.80069851,96,2,4
2017-01-02 14:00:00,88.36528829,85,0,3
2017-01-02 15:00:00,66.53392929,64,0,2
2017-01-02 16:00:00,81.0883058,67,0,2
2017-01-02 17:00:00,46.9896805,33,0,3
2017-01-02 18:00:00,0,0,-1,3
2017-01-02 19:00:00,0,0,-1,3
2017-01-02 20:00:00,0,0,-1,2
2017-01-02 21:00:00,0,0,-1,2
2017-01-02 22:00:00,0,0,-1,2
2017-01-02 23:00:00,0,0,0,1
2017-01-03 00:00:00,0,0,0,0
2017-01-03 01:00:00,0,0,-1,0
2017-01-03 02:00:00,0,0,-1,0
2017-01-03 03:00:00,0,0,-1,0
2017-01-03 04:00:00,0,0,-1,0
2017-01-03 05:00:00,0,0,-1,0
2017-01-03 06:00:00,0,0,-1,0
2017-01-03 07:00:00,0,0,-1,0
2017-01-03 08:00:00,59.12182468,30,0,0
2017-01-03 09:00:00,193.3676638,72,0,0
2017-01-03 10:00:00,294.2102321,144,1,0
2017-01-03 11:00:00,388.8153219,198,1,0
2017-01-03 12:00:00,418.96452,217,1,0
2017-01-03 13:00:00,412.7272453,230,2,0
2017-01-03 14:00:00,346.1922153,233,2,0
2017-01-03 15:00:00,280.6966703,137,2,2
2017-01-03 16:00:00,164.2596967,82,2,2
2017-01-03 17:00:00,23.91124552,23,2,2
2017-01-03 18:00:00,0,0,2,2
2017-01-03 19:00:00,0,0,2,1
2017-01-03 20:00:00,0,0,1,0
2017-01-03 21:00:00,0,0,0,0
2017-01-03 22:00:00,0,0,-1,1
2017-01-03 23:00:00,0,0,-1,0
2017-01-04 00:00:00,0,0,-2,2
2017-01-04 01:00:00,0,0,-3,2
2017-01-04 02:00:00,0,0,-3,2
2017-01-04 03:00:00,0,0,-4,2
2017-01-04 04:00:00,0,0,-4,2
2017-01-04 05:00:00,0,0,-4,2
2017-01-04 06:00:00,0,0,-4,2
2017-01-04 07:00:00,0,0,-4,2
2017-01-04 08:00:00,29.10978021,27,-3,1
2017-01-04 09:00:00,73.81415995,71,0,0
2017-01-04 10:00:00,111.2411702,107,1,0
2017-01-04 11:00:00,113.3205588,109,2,0
2017-01-04 12:00:00,123.7170653,119,4,1
2017-01-04 13:00:00,136.1928734,131,4,2
2017-01-04 14:00:00,148.6687069,143,6,0
2017-01-04 15:00:00,156.9859962,146,7,2
2017-01-04 16:00:00,128.9157831,96,6,2
2017-01-04 17:00:00,40.54613416,26,3,2
2017-01-04 18:00:00,0,0,2,2
2017-01-04 19:00:00,0,0,0,2
2017-01-04 20:00:00,0,0,0,2
2017-01-04 21:00:00,0,0,0,2
2017-01-04 22:00:00,0,0,-1,2
2017-01-04 23:00:00,0,0,-1,2
2017-01-05 00:00:00,0,0,-2,2
2017-01-05 01:00:00,0,0,-2,2
2017-01-05 02:00:00,0,0,-3,2
2017-01-05 03:00:00,0,0,-3,1
2017-01-05 04:00:00,0,0,-3,0
2017-01-05 05:00:00,0,0,-3,0
2017-01-05 06:00:00,0,0,-3,2
2017-01-05 07:00:00,0,0,-3,1
2017-01-05 08:00:00,44.70539524,31,-1,0
2017-01-05 09:00:00,146.5922601,109,1,0
2017-01-05 10:00:00,291.1054957,162,3,0
2017-01-05 11:00:00,329.5733456,198,3,1
2017-01-05 12:00:00,325.4150253,243,4,0
2017-01-05 13:00:00,251.5990958,195,5,0
2017-01-05 14:00:00,286.9480239,209,6,0
2017-01-05 15:00:00,192.3385471,163,8,1
2017-01-05 16:00:00,160.1090093,95,8,2
2017-01-05 17:00:00,44.70580837,31,5,0
2017-01-05 18:00:00,0,0,2,2
2017-01-05 19:00:00,0,0,1,2
2017-01-05 20:00:00,0,0,1,2
2017-01-05 21:00:00,0,0,1,1
